function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
embench_func,1,26707111540,93176,729514,29,44,3738,223
mont64_run,2,6799126,9,29,0,1,2,0
crc_32_run,2,6300616,75,289,4,5,218,13
basicmath_small_run,2,989678,2,227,0,0,6,0
libedn_run,2,13899265,10,43,0,0,1,0
libhuffbench_run,2,7658298,133,33,1,0,2,4
matmult_int_run,2,16210362,52,7,0,0,1,1
md5_run,2,4136074,14,14,0,0,1,0
libminver_run,2,2572291,0,7,0,0,0,0
nbody_run,2,240414,0,0,0,0,0,0
nettle_aes_run,2,7708834,27,13,0,0,1,1
nettle_sha256_run,2,4217692,8,50,0,0,0,0
libsichneu_run,2,6227477,0,4016,0,0,21,0
libpicojpeg_test_run,2,9611612,10,170,0,0,2,0
primecount_run,2,8945961,0,1,0,0,0,0
qrtest_run,2,7449688,2,172,0,0,5,0
combined_run,2,10002392,13,193,0,0,2,1
libslre_run,2,8044463,2,49,0,0,0,0
libst_run,2,447340,0,10,0,0,0,0
libstatemate_run,2,2164278,1,6,0,0,0,0
tarfind_run,2,2197777,21,21,0,0,1,3
libud_run,2,9931009,5,27,0,0,0,0
libwikisort_run,2,1448126,16,22,0,0,0,0
mont64_run,2,6797946,3,3,0,0,0,0
crc_32_run,2,6277310,3,13,0,0,0,2
basicmath_small_run,2,991095,5,219,0,0,1,0
libedn_run,2,13899147,9,46,0,0,0,0
libhuffbench_run,2,7655690,102,23,0,0,0,2
matmult_int_run,2,16210463,67,1,0,0,0,0
md5_run,2,4135749,4,10,0,0,0,0
libminver_run,2,2574398,9,10,0,0,0,0
nbody_run,2,240407,0,0,0,0,0,0
nettle_aes_run,2,7709617,27,14,0,0,0,0
nettle_sha256_run,2,4214879,6,57,0,0,0,0
libsichneu_run,2,6218582,7,4246,0,0,6,0
libpicojpeg_test_run,2,9611894,7,219,0,0,1,0
primecount_run,2,8945854,0,5,0,0,0,0
qrtest_run,2,7447848,2,135,0,0,0,0
combined_run,2,10001267,25,239,0,0,2,0
libslre_run,2,8044337,5,44,0,0,0,0
libst_run,2,446796,0,0,0,0,0,0
libstatemate_run,2,2165067,0,37,0,0,1,0
tarfind_run,2,2198011,17,27,0,0,0,0
libud_run,2,9897257,8,20,0,0,0,0
libwikisort_run,2,1448044,2,7,0,0,0,0
mont64_run,2,6798754,9,3,0,0,0,0
crc_32_run,2,6277477,2,11,0,0,0,0
basicmath_small_run,2,989275,0,210,0,0,0,0
libedn_run,2,13899369,8,40,0,0,0,0
libhuffbench_run,2,7653327,71,4,0,0,0,1
matmult_int_run,2,16210879,71,12,0,0,0,1
md5_run,2,4135186,5,7,0,0,0,0
libminver_run,2,2577335,0,4,0,0,0,0
nbody_run,2,240473,0,0,0,0,0,0
nettle_aes_run,2,7708750,48,13,0,0,0,0
nettle_sha256_run,2,4216953,3,39,0,0,0,0
libsichneu_run,2,6205856,4,4133,0,0,0,0
libpicojpeg_test_run,2,9610936,8,118,0,0,0,0
primecount_run,2,8945015,0,5,0,0,0,0
qrtest_run,2,7443750,0,148,0,0,0,0
combined_run,2,10004531,29,204,0,0,0,0
libslre_run,2,8050062,8,51,0,0,0,0
libst_run,2,446759,0,0,0,0,0,0
libstatemate_run,2,2166161,0,25,0,0,0,0
tarfind_run,2,2198111,15,20,0,0,0,0
