function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
embench_func,1,26718991630,97533,727163,34,45,3741,555
mont64_run,2,6814606,62,309,3,4,216,2
crc_32_run,2,6277162,6,15,0,0,2,1
basicmath_small_run,2,991570,11,367,0,0,3,0
libedn_run,2,13899400,8,66,0,0,1,0
libhuffbench_run,2,7651633,88,72,0,0,1,2
matmult_int_run,2,16210713,58,19,0,0,3,1
md5_run,2,4136208,2,41,0,0,0,1
libminver_run,2,2577016,1,6,0,0,0,0
nbody_run,2,240349,0,0,0,0,0,0
nettle_aes_run,2,7710033,49,25,0,0,0,2
nettle_sha256_run,2,4223650,11,71,0,0,0,0
libsichneu_run,2,6226334,12,4087,0,0,27,0
libpicojpeg_test_run,2,9673557,11,193,0,0,3,1
primecount_run,2,8945647,0,5,0,0,0,0
qrtest_run,2,7447918,2,173,0,0,2,1
combined_run,2,10001927,18,83,0,0,3,1
libslre_run,2,8050822,5,53,0,0,2,2
libst_run,2,447389,1,12,0,0,0,0
libstatemate_run,2,2147505,1,31,0,0,0,0
tarfind_run,2,2198024,25,20,0,0,1,4
libud_run,2,9904373,13,37,0,0,0,0
libwikisort_run,2,1447676,13,22,0,0,0,0
mont64_run,2,6787771,15,23,0,0,0,0
crc_32_run,2,6277073,8,10,0,0,0,0
basicmath_small_run,2,992024,13,324,0,0,0,0
libedn_run,2,13900037,12,84,0,0,0,0
libhuffbench_run,2,7654736,94,54,0,0,0,4
matmult_int_run,2,16210917,78,18,0,0,0,0
md5_run,2,4136103,6,42,0,0,0,1
libminver_run,2,2583616,1,6,0,0,0,0
nbody_run,2,240504,0,0,0,0,0,0
nettle_aes_run,2,7709740,57,20,0,0,0,1
nettle_sha256_run,2,4223348,9,63,0,0,0,0
libsichneu_run,2,6229521,5,4028,0,0,1,0
libpicojpeg_test_run,2,9672539,6,193,0,0,0,0
primecount_run,2,8945614,0,13,0,0,0,0
qrtest_run,2,7450241,3,243,0,0,0,0
combined_run,2,10000261,23,81,0,0,1,1
libslre_run,2,8047335,1,43,0,0,1,0
libst_run,2,446775,1,0,0,0,0,1
libstatemate_run,2,2148048,4,67,0,0,0,0
tarfind_run,2,2198142,14,41,0,0,0,1
libud_run,2,9860165,5,24,0,0,0,0
libwikisort_run,2,1447616,5,16,0,0,0,0
mont64_run,2,6796166,6,3,0,0,0,1
crc_32_run,2,6277951,12,17,0,0,0,0
basicmath_small_run,2,990931,3,306,0,0,0,0
libedn_run,2,13899993,15,90,0,0,0,0
libhuffbench_run,2,7655996,94,68,0,0,0,6
matmult_int_run,2,16210624,55,8,0,0,0,0
md5_run,2,4136680,18,66,0,0,0,0
libminver_run,2,2558588,1,7,0,0,0,0
nbody_run,2,240419,0,0,0,0,0,0
nettle_aes_run,2,7709590,59,17,0,0,0,0
nettle_sha256_run,2,4209598,4,87,0,0,1,0
libsichneu_run,2,6227030,2,3879,0,0,2,0
libpicojpeg_test_run,2,9673006,7,148,0,0,1,0
primecount_run,2,8945547,0,9,0,0,0,0
qrtest_run,2,7450887,5,205,0,0,0,0
combined_run,2,10003057,15,75,0,0,1,0
libslre_run,2,8047841,2,42,0,0,0,0
libst_run,2,446757,0,0,0,0,0,0
libstatemate_run,2,2147751,0,50,0,0,0,0
tarfind_run,2,2199581,21,64,0,0,0,0
libud_run,2,9893794,0,13,0,0,0,0
libwikisort_run,2,1447519,1,3,0,0,0,0
mont64_run,2,6796275,4,3,0,0,0,0
crc_32_run,2,6277916,8,16,0,0,0,0
basicmath_small_run,2,989518,0,275,0,0,0,0
libedn_run,2,13900453,22,103,0,0,0,0
libhuffbench_run,2,7652515,88,70,0,0,0,0
matmult_int_run,2,16210351,63,12,0,0,0,0
md5_run,2,4135450,1,20,0,0,0,0
libminver_run,2,2572231,5,24,0,0,0,0
nbody_run,2,240349,0,0,0,0,0,0
nettle_aes_run,2,7708970,52,8,0,0,0,0
nettle_sha256_run,2,4217546,12,63,0,0,0,0
libsichneu_run,2,6227863,3,3850,0,0,0,0
libpicojpeg_test_run,2,9674327,4,168,0,0,0,0
primecount_run,2,8945085,0,6,0,0,0,0
qrtest_run,2,7447057,0,182,0,0,0,0
combined_run,2,10002536,23,84,0,0,0,0
libslre_run,2,8048219,3,61,0,0,0,0
libst_run,2,446746,2,2,0,0,0,0
libstatemate_run,2,2147677,0,56,0,0,0,0
tarfind_run,2,2197369,10,40,0,0,0,0
libud_run,2,9895169,3,22,0,0,0,0
libwikisort_run,2,1447268,2,3,0,0,0,0
