function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
stream_func,1,1086006244,1003218,1621,65,8,4177,4875
tuned_STREAM_Copy,2,172176,163,5,0,0,17,1021
tuned_STREAM_Scale,2,223836,504,3,0,0,2170,108
tuned_STREAM_Add,2,236641,746,3,0,0,16,80
tuned_STREAM_Triad,2,287409,781,5,0,0,7,4
tuned_STREAM_Copy,2,172609,278,0,0,0,0,0
tuned_STREAM_Scale,2,212082,196,0,0,0,0,0
tuned_STREAM_Add,2,236169,742,0,0,0,0,0
tuned_STREAM_Triad,2,286942,742,0,0,0,0,0
tuned_STREAM_Copy,2,181321,286,0,0,0,0,0
tuned_STREAM_Scale,2,212558,216,3,0,0,0,0
tuned_STREAM_Add,2,236691,748,0,0,0,0,0
tuned_STREAM_Triad,2,287165,755,0,0,0,0,0
tuned_STREAM_Copy,2,181222,253,0,0,0,0,0
tuned_STREAM_Scale,2,212634,247,0,0,0,0,0
tuned_STREAM_Add,2,236876,736,0,0,0,0,0
tuned_STREAM_Triad,2,287264,760,0,0,0,0,0
tuned_STREAM_Copy,2,181331,264,0,0,0,0,0
tuned_STREAM_Scale,2,212381,225,0,0,0,0,0
tuned_STREAM_Add,2,237149,804,0,0,0,0,0
tuned_STREAM_Triad,2,287859,751,5,0,0,0,0
tuned_STREAM_Copy,2,172346,243,0,0,0,0,0
tuned_STREAM_Scale,2,211818,208,0,0,0,0,0
tuned_STREAM_Add,2,236368,737,2,0,0,0,0
tuned_STREAM_Triad,2,287279,791,0,0,0,0,0
tuned_STREAM_Copy,2,172234,241,0,0,0,1,0
tuned_STREAM_Scale,2,211789,230,0,0,0,0,0
tuned_STREAM_Add,2,236450,739,0,0,0,0,0
tuned_STREAM_Triad,2,287211,756,0,0,0,0,0
tuned_STREAM_Copy,2,172678,311,0,0,0,0,0
tuned_STREAM_Scale,2,212366,209,0,0,0,0,0
tuned_STREAM_Add,2,237344,772,1,0,0,0,0
tuned_STREAM_Triad,2,286875,753,0,0,0,0,0
tuned_STREAM_Copy,2,172471,269,0,0,0,0,0
tuned_STREAM_Scale,2,212024,194,0,0,0,0,0
tuned_STREAM_Add,2,236634,759,0,0,0,0,0
tuned_STREAM_Triad,2,287144,739,0,0,0,0,0
