function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
stream_func,1,1348577269,1223975,1430,60,12,3849,4623
tuned_STREAM_Copy,2,3516435,4381,20,0,1,1997,990
tuned_STREAM_Scale,3,1373278,1954,11,0,0,1947,194
tuned_STREAM_Triad,4,287765,746,6,0,0,12,54
tuned_STREAM_Triad,4,287057,738,0,0,0,0,0
tuned_STREAM_Add,3,1387819,2280,5,0,1,4,0
tuned_STREAM_Triad,4,287236,751,0,0,0,0,0
tuned_STREAM_Triad,4,286774,749,0,0,0,0,0
tuned_STREAM_Copy,2,3507572,4277,0,0,0,0,0
tuned_STREAM_Scale,3,1362048,1681,0,0,0,0,0
tuned_STREAM_Triad,4,287129,746,0,0,0,0,0
tuned_STREAM_Triad,4,286936,734,0,0,0,0,0
tuned_STREAM_Add,3,1389151,2282,0,0,0,0,0
tuned_STREAM_Triad,4,287503,757,0,0,0,0,0
tuned_STREAM_Triad,4,287722,783,0,0,0,0,0
tuned_STREAM_Copy,2,3503522,4277,0,0,0,0,0
tuned_STREAM_Scale,3,1361249,1732,0,0,0,0,0
tuned_STREAM_Triad,4,287029,747,0,0,0,0,0
tuned_STREAM_Triad,4,286805,772,0,0,0,0,0
tuned_STREAM_Add,3,1387100,2280,0,0,0,0,0
tuned_STREAM_Triad,4,287182,768,0,0,0,0,0
tuned_STREAM_Triad,4,287012,769,0,0,0,0,0
tuned_STREAM_Copy,2,3506002,4260,3,0,0,1,0
tuned_STREAM_Scale,3,1363570,1727,3,0,0,1,0
tuned_STREAM_Triad,4,288289,780,3,0,0,0,0
tuned_STREAM_Triad,4,286749,744,0,0,0,0,0
tuned_STREAM_Add,3,1387212,2256,0,0,0,0,0
tuned_STREAM_Triad,4,287359,755,0,0,0,0,0
tuned_STREAM_Triad,4,286831,758,0,0,0,0,0
tuned_STREAM_Copy,2,3504737,4215,0,0,0,0,0
tuned_STREAM_Scale,3,1361868,1674,0,0,0,0,0
tuned_STREAM_Triad,4,286975,747,0,0,0,0,0
tuned_STREAM_Triad,4,287033,738,0,0,0,0,0
tuned_STREAM_Add,3,1387527,2294,0,0,0,0,0
tuned_STREAM_Triad,4,287152,769,0,0,0,0,0
tuned_STREAM_Triad,4,287021,764,0,0,0,0,0
tuned_STREAM_Copy,2,3504727,4241,0,0,0,3,0
tuned_STREAM_Scale,3,1361021,1654,0,0,0,0,0
tuned_STREAM_Triad,4,286732,707,0,0,0,0,0
tuned_STREAM_Triad,4,286766,737,0,0,0,0,0
tuned_STREAM_Add,3,1387716,2294,0,0,0,3,0
tuned_STREAM_Triad,4,287085,772,0,0,0,0,0
tuned_STREAM_Triad,4,287547,779,0,0,0,3,0
tuned_STREAM_Copy,2,3504908,4261,0,0,0,0,0
tuned_STREAM_Scale,3,1362321,1743,0,0,0,0,0
tuned_STREAM_Triad,4,286851,757,0,0,0,0,0
tuned_STREAM_Triad,4,287254,765,0,0,0,0,0
tuned_STREAM_Add,3,1386560,2233,0,0,0,0,0
tuned_STREAM_Triad,4,286848,738,0,0,0,0,0
tuned_STREAM_Triad,4,287100,755,0,0,0,0,0
tuned_STREAM_Copy,2,3507623,4246,0,0,0,0,0
tuned_STREAM_Scale,3,1362698,1709,0,0,0,0,0
tuned_STREAM_Triad,4,287467,746,0,0,0,0,0
tuned_STREAM_Triad,4,286955,767,0,0,0,0,0
tuned_STREAM_Add,3,1388884,2282,0,0,0,0,0
tuned_STREAM_Triad,4,287441,772,0,0,0,0,0
tuned_STREAM_Triad,4,287728,751,0,0,0,0,0
tuned_STREAM_Copy,2,3504355,4284,0,0,0,0,0
tuned_STREAM_Scale,3,1362026,1732,0,0,0,0,0
tuned_STREAM_Triad,4,286929,765,0,0,0,0,0
tuned_STREAM_Triad,4,287066,756,0,0,0,0,0
tuned_STREAM_Add,3,1386939,2294,0,0,0,0,0
tuned_STREAM_Triad,4,286908,756,0,0,0,0,0
tuned_STREAM_Triad,4,286958,777,0,0,0,0,0
tuned_STREAM_Copy,2,3507515,4329,0,0,0,0,0
tuned_STREAM_Scale,3,1361836,1737,0,0,0,0,0
tuned_STREAM_Triad,4,286845,746,0,0,0,0,0
tuned_STREAM_Triad,4,287098,783,0,0,0,0,0
tuned_STREAM_Add,3,1389277,2289,0,0,0,0,0
tuned_STREAM_Triad,4,287104,737,0,0,0,0,0
tuned_STREAM_Triad,4,287802,782,0,0,0,0,0
tuned_STREAM_Copy,2,3504847,4269,0,0,0,0,0
tuned_STREAM_Scale,3,1361796,1755,0,0,0,0,0
tuned_STREAM_Triad,4,287045,764,0,0,0,0,0
tuned_STREAM_Triad,4,287069,767,0,0,0,0,0
tuned_STREAM_Add,3,1387398,2253,0,0,0,0,0
tuned_STREAM_Triad,4,287123,761,0,0,0,0,0
tuned_STREAM_Triad,4,287226,757,0,0,0,0,0
tuned_STREAM_Copy,2,3504015,4203,0,0,0,1,0
tuned_STREAM_Scale,3,1363178,1703,0,0,0,0,0
tuned_STREAM_Triad,4,287695,772,0,0,0,0,0
tuned_STREAM_Triad,4,286946,733,0,0,0,0,0
tuned_STREAM_Add,3,1385665,2247,0,0,0,0,0
tuned_STREAM_Triad,4,286770,753,0,0,0,0,0
tuned_STREAM_Triad,4,286880,760,0,0,0,0,0
tuned_STREAM_Copy,2,3503560,4211,0,0,0,0,0
tuned_STREAM_Scale,3,1361238,1702,0,0,0,0,0
tuned_STREAM_Triad,4,286670,748,0,0,0,0,0
tuned_STREAM_Triad,4,286964,754,0,0,0,0,0
tuned_STREAM_Add,3,1387149,2270,0,0,0,0,0
tuned_STREAM_Triad,4,287047,746,0,0,0,0,0
tuned_STREAM_Triad,4,286911,760,0,0,0,0,0
tuned_STREAM_Copy,2,3506261,4255,0,0,0,0,0
tuned_STREAM_Scale,3,1361831,1675,0,0,0,0,0
tuned_STREAM_Triad,4,286866,740,0,0,0,0,0
tuned_STREAM_Triad,4,287070,733,0,0,0,0,0
tuned_STREAM_Add,3,1388163,2331,0,0,0,0,0
tuned_STREAM_Triad,4,287028,763,0,0,0,0,0
tuned_STREAM_Triad,4,287852,809,0,0,0,0,0
tuned_STREAM_Copy,2,3507337,4203,0,0,0,0,0
tuned_STREAM_Scale,3,1363913,1680,0,0,0,0,0
tuned_STREAM_Triad,4,287374,732,0,0,0,0,0
tuned_STREAM_Triad,4,287647,754,0,0,0,0,0
tuned_STREAM_Add,3,1387212,2239,0,0,0,0,0
tuned_STREAM_Triad,4,287187,763,0,0,0,0,0
tuned_STREAM_Triad,4,287165,739,0,0,0,0,0
tuned_STREAM_Copy,2,3507461,4360,0,0,0,0,0
tuned_STREAM_Scale,3,1363845,1774,0,0,0,0,0
tuned_STREAM_Triad,4,287958,757,0,0,0,0,0
tuned_STREAM_Triad,4,286957,757,0,0,0,0,0
tuned_STREAM_Add,3,1387839,2279,0,0,0,0,0
