function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
stream_func,1,280964989,10953,1879,9,14,910,242
tuned_STREAM_Copy,2,352508,224,19,1,0,55,16
tuned_STREAM_Scale,3,137602,147,9,0,0,25,12
tuned_STREAM_Triad,4,28705,69,6,0,0,3,1
tuned_STREAM_Triad,4,28224,26,0,0,0,0,0
tuned_STREAM_Add,3,137584,13,4,0,0,5,0
tuned_STREAM_Triad,4,28065,4,0,0,0,0,0
tuned_STREAM_Triad,4,28065,3,0,0,0,0,0
tuned_STREAM_Copy,2,347376,48,0,0,0,0,5
tuned_STREAM_Scale,3,134670,18,0,0,0,0,3
tuned_STREAM_Triad,4,28089,9,0,0,0,0,1
tuned_STREAM_Triad,4,28065,3,0,0,0,0,0
tuned_STREAM_Add,3,136803,20,0,0,0,0,2
tuned_STREAM_Triad,4,28113,9,0,0,0,0,2
tuned_STREAM_Triad,4,28089,8,0,0,0,0,0
tuned_STREAM_Copy,2,347303,38,0,0,0,0,4
tuned_STREAM_Scale,3,134679,18,0,0,0,0,0
tuned_STREAM_Triad,4,28065,9,0,0,0,0,0
tuned_STREAM_Triad,4,28097,4,0,0,0,0,0
tuned_STREAM_Add,3,136759,16,0,0,0,0,3
tuned_STREAM_Triad,4,28089,4,0,0,0,0,2
tuned_STREAM_Triad,4,28101,8,0,0,0,0,1
tuned_STREAM_Copy,2,347026,17,0,0,0,0,1
tuned_STREAM_Scale,3,134573,6,0,0,0,0,1
tuned_STREAM_Triad,4,28041,1,0,0,0,0,1
tuned_STREAM_Triad,4,28065,4,0,0,0,0,0
tuned_STREAM_Add,3,136615,8,0,0,0,0,0
tuned_STREAM_Triad,4,28041,2,0,0,0,0,0
tuned_STREAM_Triad,4,28077,5,0,0,0,0,0
tuned_STREAM_Copy,2,347078,19,0,0,0,0,0
tuned_STREAM_Scale,3,134632,13,0,0,0,0,0
tuned_STREAM_Triad,4,28079,8,0,0,0,0,0
tuned_STREAM_Triad,4,28053,2,0,0,0,0,0
tuned_STREAM_Add,3,136614,5,0,0,0,0,0
tuned_STREAM_Triad,4,28041,1,0,0,0,0,0
tuned_STREAM_Triad,4,28077,3,0,0,0,0,0
tuned_STREAM_Copy,2,347020,24,0,0,0,0,0
tuned_STREAM_Scale,3,134576,7,0,0,0,0,0
tuned_STREAM_Triad,4,28041,1,0,0,0,0,0
tuned_STREAM_Triad,4,28065,4,0,0,0,0,0
tuned_STREAM_Add,3,136613,13,0,0,0,0,0
tuned_STREAM_Triad,4,28053,3,0,0,0,0,0
tuned_STREAM_Triad,4,28053,2,0,0,0,0,0
tuned_STREAM_Copy,2,347122,24,0,0,0,0,0
tuned_STREAM_Scale,3,134633,8,0,0,0,0,0
tuned_STREAM_Triad,4,28041,1,0,0,0,0,0
tuned_STREAM_Triad,4,28089,6,0,0,0,0,0
tuned_STREAM_Add,3,136643,15,0,0,0,0,0
tuned_STREAM_Triad,4,28053,6,0,0,0,0,0
tuned_STREAM_Triad,4,28065,2,0,0,0,0,0
tuned_STREAM_Copy,2,350901,76,4,0,1,1,0
tuned_STREAM_Scale,3,137176,55,4,0,1,1,0
tuned_STREAM_Triad,4,28125,10,0,0,0,1,0
tuned_STREAM_Triad,4,29253,41,4,0,1,0,0
tuned_STREAM_Add,3,136694,20,0,0,0,0,0
tuned_STREAM_Triad,4,28065,3,0,0,0,0,0
tuned_STREAM_Triad,4,28053,2,0,0,0,0,0
tuned_STREAM_Copy,2,347119,26,1,0,0,0,1
tuned_STREAM_Scale,3,134596,11,0,0,0,0,1
tuned_STREAM_Triad,4,28053,5,0,0,0,0,0
tuned_STREAM_Triad,4,28053,3,0,0,0,0,0
tuned_STREAM_Add,3,136665,12,0,0,0,0,0
tuned_STREAM_Triad,4,28065,5,0,0,0,0,0
tuned_STREAM_Triad,4,28077,3,0,0,0,0,0
tuned_STREAM_Copy,2,347212,24,0,0,0,3,0
tuned_STREAM_Scale,3,134617,9,0,0,0,0,0
