function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
embench_func,1,4542667480,19965,80528,9,24,1004,111
mont64_run,2,26278205,49,372,2,2,291,2
crc_32_run,3,19281170,149,174,2,0,251,2
libedn_run,4,17022699,92,399,5,7,316,8
libminver_run,5,2600071,9,29,1,0,4,2
nbody_run,5,240828,0,7,0,0,2,0
libhuffbench_run,4,11874586,136,122,0,0,13,8
nettle_aes_run,5,7710089,48,27,0,0,3,3
nettle_sha256_run,5,4212807,10,47,0,0,0,0
basicmath_small_run,3,34729179,157,641,2,0,161,62
matmult_int_run,4,25831091,87,398,0,0,17,1
libsichneu_run,5,6249954,12,5999,0,0,24,0
libpicojpeg_test_run,5,9618583,6,360,0,0,1,0
md5_run,4,30976431,39,328,1,3,245,19
primecount_run,5,8946092,7,27,0,0,0,1
qrtest_run,5,7435268,2,64,0,0,1,1
combined_run,2,13808070,56,319,0,1,157,4
libslre_run,3,12438104,119,171,3,2,215,12
libstatemate_run,4,2162137,19,69,0,0,1,1
tarfind_run,4,2200921,26,6,0,0,0,2
libst_run,3,13312426,61,177,1,3,226,38
libud_run,4,9907281,10,23,0,0,0,1
libwikisort_run,4,1458194,7,23,0,0,1,0
mont64_run,2,26263791,59,343,0,1,13,1
crc_32_run,3,19274520,112,151,0,0,2,3
libedn_run,4,16965897,27,132,0,0,3,1
libminver_run,5,2575251,15,39,0,0,0,1
nbody_run,5,240441,0,2,0,0,0,0
libhuffbench_run,4,11878501,140,144,0,0,2,3
nettle_aes_run,5,7709722,45,79,0,0,0,1
nettle_sha256_run,5,4214883,0,34,0,0,0,0
basicmath_small_run,3,34730539,117,657,0,0,5,14
matmult_int_run,4,25831334,122,480,0,0,1,5
libsichneu_run,5,6222613,15,5782,0,0,3,0
libpicojpeg_test_run,5,9618433,15,438,0,0,0,0
md5_run,4,30963071,22,317,0,0,5,1
primecount_run,5,8946202,2,19,0,0,0,0
qrtest_run,5,7440336,7,88,0,0,0,0
combined_run,2,13801081,81,308,0,0,0,0
libslre_run,3,12429979,127,186,0,0,0,3
