function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
embench_func,1,26707921546,93210,728350,27,47,3747,225
mont64_run,2,6797688,7,27,0,1,2,0
crc_32_run,2,6301107,65,291,3,7,220,17
basicmath_small_run,2,989856,2,243,1,0,5,0
libedn_run,2,13899561,9,59,0,0,9,0
libhuffbench_run,2,7655644,101,26,0,0,2,2
matmult_int_run,2,16210486,66,5,0,0,1,0
md5_run,2,4136367,8,23,0,0,1,0
libminver_run,2,2573565,2,8,0,0,0,0
nbody_run,2,240582,0,0,0,0,0,0
nettle_aes_run,2,7709072,27,12,0,0,1,1
nettle_sha256_run,2,4218368,8,53,0,0,0,1
libsichneu_run,2,6241155,0,4282,0,0,18,0
libpicojpeg_test_run,2,9608505,5,156,0,0,2,0
primecount_run,2,8945918,0,7,0,0,0,0
qrtest_run,2,7446898,2,179,0,0,2,0
combined_run,2,10003987,11,207,0,0,1,1
libslre_run,2,8054564,5,63,0,0,2,0
libst_run,2,447345,0,13,0,0,0,0
libstatemate_run,2,2164366,1,12,0,0,0,0
tarfind_run,2,2198050,25,24,0,0,1,2
libud_run,2,9971312,7,25,0,0,0,0
libwikisort_run,2,1448188,19,12,0,0,0,2
mont64_run,2,6798323,5,3,0,0,0,0
crc_32_run,2,6277368,8,11,0,0,0,0
basicmath_small_run,2,991333,6,260,0,0,1,0
libedn_run,2,13899566,7,59,0,0,0,0
libhuffbench_run,2,7650376,121,27,0,0,0,3
matmult_int_run,2,16210641,84,4,0,0,0,1
md5_run,2,4135603,2,6,0,0,0,0
libminver_run,2,2584781,7,11,0,0,0,0
nbody_run,2,240489,0,0,0,0,0,0
nettle_aes_run,2,7708156,24,3,0,0,0,0
nettle_sha256_run,2,4210017,7,53,0,0,0,0
libsichneu_run,2,6216653,0,3866,0,0,5,0
libpicojpeg_test_run,2,9612090,3,155,0,0,1,0
primecount_run,2,8945283,0,4,0,0,0,0
qrtest_run,2,7449039,5,160,0,1,0,0
combined_run,2,10001457,26,224,0,0,1,0
libslre_run,2,8049862,4,54,0,0,0,1
libst_run,2,446736,0,0,0,0,0,0
libstatemate_run,2,2167036,1,21,0,0,1,0
tarfind_run,2,2198257,14,22,0,0,0,0
libud_run,2,9919723,7,28,0,0,0,0
libwikisort_run,2,1447918,1,6,0,0,0,0
mont64_run,2,6797944,9,6,0,0,0,0
crc_32_run,2,6277468,1,6,0,0,0,0
basicmath_small_run,2,989850,0,222,0,0,0,0
libedn_run,2,13899501,6,39,0,0,0,0
libhuffbench_run,2,7655480,89,23,0,0,0,0
matmult_int_run,2,16210775,71,11,0,0,0,0
md5_run,2,4135671,2,10,0,0,0,0
libminver_run,2,2570894,0,2,0,0,0,0
nbody_run,2,240354,0,0,0,0,0,0
nettle_aes_run,2,7710461,41,9,0,0,0,0
nettle_sha256_run,2,4214455,2,35,0,0,0,0
libsichneu_run,2,6220623,7,3967,0,0,0,0
libpicojpeg_test_run,2,9609978,13,120,0,0,0,0
primecount_run,2,8945871,0,2,0,0,0,0
qrtest_run,2,7452222,1,167,0,0,0,0
combined_run,2,10001102,17,208,0,0,0,0
libslre_run,2,8046097,4,55,0,0,0,0
libst_run,2,446774,0,0,0,0,0,0
libstatemate_run,2,2165096,0,21,0,0,0,0
