function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
embench_func,1,77197930264,107769,1499004,29,45,3755,564
mont64_run,2,20415200,67,318,3,5,215,3
crc_32_run,2,18832537,13,15,0,0,1,0
basicmath_small_run,2,2969974,1,825,0,0,2,0
libedn_run,2,41696779,7,80,0,0,1,0
libhuffbench_run,2,22960751,148,148,1,0,2,0
matmult_int_run,2,48629605,76,9,0,0,0,3
md5_run,2,12408599,12,108,0,0,0,0
libminver_run,2,7683865,1,6,0,0,0,0
nbody_run,2,720939,0,0,0,0,0,0
nettle_aes_run,2,23128901,125,13,0,0,0,0
nettle_sha256_run,2,12649859,10,114,0,0,0,0
libsichneu_run,2,18627545,2,11870,0,0,22,1
libpicojpeg_test_run,2,29014737,9,192,0,0,4,0
primecount_run,2,26837079,0,6,0,0,0,0
qrtest_run,2,22346665,7,480,0,0,1,0
combined_run,2,30003860,17,90,0,0,0,2
libslre_run,2,24142813,16,63,0,0,1,1
libst_run,2,1340708,1,18,0,0,0,0
libstatemate_run,2,6441508,1,87,0,0,0,0
tarfind_run,2,6593025,27,55,0,0,1,3
libud_run,2,29752107,7,23,0,0,0,0
libwikisort_run,2,4342982,8,28,0,0,2,0
mont64_run,2,20395927,17,12,0,0,0,0
crc_32_run,2,18831668,8,21,0,0,0,0
basicmath_small_run,2,2970660,5,896,0,0,0,0
libedn_run,2,41696875,9,73,0,0,0,0
libhuffbench_run,2,22961563,116,153,0,0,0,3
matmult_int_run,2,48629657,72,11,0,0,0,0
md5_run,2,12407846,7,75,0,0,0,0
libminver_run,2,7701172,1,11,0,0,0,0
nbody_run,2,720961,0,2,0,0,0,0
nettle_aes_run,2,23125992,107,11,0,0,0,2
nettle_sha256_run,2,12628951,7,111,0,0,0,0
libsichneu_run,2,18661721,2,11357,0,0,5,0
libpicojpeg_test_run,2,29013614,6,167,0,0,0,0
primecount_run,2,26836751,0,4,0,0,0,0
qrtest_run,2,22340944,2,492,0,0,0,0
combined_run,2,30000806,26,75,0,0,2,0
libslre_run,2,24137434,2,72,0,0,0,0
libst_run,2,1341067,4,20,0,0,0,0
libstatemate_run,2,6441879,1,76,0,0,0,0
