function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
stream_func,1,12945420689,12445746,2014,294679,1663,56496541,23841567
tuned_STREAM_Copy,2,41418739,42532,29,1323,10,196631,89704
tuned_STREAM_Scale,3,15989421,17240,13,576,5,84173,38188
tuned_STREAM_Triad,4,3451585,7957,8,199,4,34556,11999
tuned_STREAM_Triad,4,3457467,7964,0,189,0,35261,11696
tuned_STREAM_Add,3,16772092,24955,10,504,4,106395,35632
tuned_STREAM_Triad,4,3460992,7846,1,160,0,35547,11675
tuned_STREAM_Triad,4,3464256,7967,1,160,3,35739,11939
tuned_STREAM_Copy,2,41284849,43794,3,1010,3,198544,83307
tuned_STREAM_Scale,3,15951303,19041,3,420,3,84250,35461
tuned_STREAM_Triad,4,3427319,8217,0,148,0,33727,13452
tuned_STREAM_Triad,4,3446820,8007,3,158,3,34851,12719
tuned_STREAM_Add,3,16699131,24497,0,479,0,105077,35691
tuned_STREAM_Triad,4,3435349,8030,0,152,0,35311,10813
tuned_STREAM_Triad,4,3454023,8035,0,162,0,35513,12365
tuned_STREAM_Copy,2,41281964,43409,3,1038,8,197052,83599
tuned_STREAM_Scale,3,15817323,17940,0,420,3,81363,35704
tuned_STREAM_Triad,4,3386819,8050,0,161,1,33028,13034
tuned_STREAM_Triad,4,3435764,7963,0,147,0,34751,12975
tuned_STREAM_Add,3,16777475,25170,0,507,3,105910,35930
tuned_STREAM_Triad,4,3449134,8058,0,174,0,35399,11278
tuned_STREAM_Triad,4,3469374,8283,0,169,0,35594,12439
tuned_STREAM_Copy,2,41373974,43493,0,1022,7,197331,83854
tuned_STREAM_Scale,3,15862051,18066,0,410,4,81545,35756
tuned_STREAM_Triad,4,3402262,7905,0,148,3,33132,12957
tuned_STREAM_Triad,4,3439671,8197,0,157,0,34746,12937
tuned_STREAM_Add,3,16780128,25174,0,497,3,106040,36081
tuned_STREAM_Triad,4,3452869,8039,0,160,2,35430,11410
tuned_STREAM_Triad,4,3462825,8107,0,168,0,35605,12453
tuned_STREAM_Copy,2,41241981,44049,0,1038,7,198605,83602
tuned_STREAM_Scale,3,15841777,18605,0,432,5,82714,35625
tuned_STREAM_Triad,4,3400421,8098,0,155,0,33319,13471
tuned_STREAM_Triad,4,3427275,8116,0,162,4,34702,12962
tuned_STREAM_Add,3,16762587,25151,0,503,2,106005,35944
tuned_STREAM_Triad,4,3452597,8028,0,175,0,35397,11361
tuned_STREAM_Triad,4,3456369,7997,0,167,2,35602,12464
tuned_STREAM_Copy,2,41390996,44339,0,1013,3,201262,83799
tuned_STREAM_Scale,3,15910810,19027,0,409,0,84922,35674
tuned_STREAM_Triad,4,3425184,7996,0,146,0,33930,14298
tuned_STREAM_Triad,4,3436447,8097,0,165,0,34883,12917
tuned_STREAM_Add,3,16781784,25024,0,489,3,106478,36056
tuned_STREAM_Triad,4,3452351,7890,0,158,1,35540,11249
tuned_STREAM_Triad,4,3457478,8008,0,161,0,35677,12501
tuned_STREAM_Copy,2,41430575,45025,0,991,7,201174,83409
tuned_STREAM_Scale,3,15928389,19637,0,414,3,85859,35596
tuned_STREAM_Triad,4,3415527,7958,0,153,1,34001,14523
tuned_STREAM_Triad,4,3439264,8068,0,158,0,34811,12893
tuned_STREAM_Add,3,16771796,25138,0,493,4,105655,35929
tuned_STREAM_Triad,4,3448759,8166,0,160,4,35387,11082
tuned_STREAM_Triad,4,3462927,8087,0,174,0,35566,12509
tuned_STREAM_Copy,2,41255888,44083,5,1058,7,198344,83414
tuned_STREAM_Scale,3,15878593,18735,5,465,2,83031,35564
tuned_STREAM_Triad,4,3403929,8000,0,171,2,33466,13570
tuned_STREAM_Triad,4,3432976,8091,5,174,0,34564,13044
tuned_STREAM_Add,3,16728810,25062,0,494,5,105504,35875
tuned_STREAM_Triad,4,3443709,8073,0,163,0,35267,11212
tuned_STREAM_Triad,4,3448011,8017,0,168,4,35542,12473
tuned_STREAM_Copy,2,41262995,42225,0,1054,2,193618,83722
tuned_STREAM_Scale,3,15766066,16723,0,436,2,77671,36041
tuned_STREAM_Triad,4,3383790,8011,0,164,0,32886,11536
tuned_STREAM_Triad,4,3432421,8099,0,156,1,34721,12736
