function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
stream_func,1,1085947913,1002333,1631,65,11,4168,4864
tuned_STREAM_Copy,2,172029,131,5,1,0,16,1029
tuned_STREAM_Scale,2,222028,424,3,0,0,2163,99
tuned_STREAM_Add,2,236549,733,3,0,0,13,90
tuned_STREAM_Triad,2,287164,753,4,0,0,6,2
tuned_STREAM_Copy,2,181275,264,0,0,0,0,0
tuned_STREAM_Scale,2,212042,194,0,0,0,1,0
tuned_STREAM_Add,2,236499,728,0,0,0,0,0
tuned_STREAM_Triad,2,287056,739,0,0,0,0,0
tuned_STREAM_Copy,2,181490,289,0,0,0,0,0
tuned_STREAM_Scale,2,212687,212,6,0,0,1,0
tuned_STREAM_Add,2,236182,741,0,0,0,0,0
tuned_STREAM_Triad,2,286798,737,0,0,0,0,0
tuned_STREAM_Copy,2,172439,267,0,0,0,0,0
tuned_STREAM_Scale,2,212375,221,0,0,0,0,0
tuned_STREAM_Add,2,236277,732,0,0,0,0,0
tuned_STREAM_Triad,2,287100,755,0,0,0,0,0
tuned_STREAM_Copy,2,172329,247,0,0,0,0,0
tuned_STREAM_Scale,2,211890,184,0,0,0,0,0
tuned_STREAM_Add,2,236396,759,0,0,0,0,0
tuned_STREAM_Triad,2,287626,771,3,0,0,0,0
tuned_STREAM_Copy,2,172166,233,0,0,0,0,0
tuned_STREAM_Scale,2,211816,177,0,0,0,0,0
tuned_STREAM_Add,2,236264,730,1,0,0,0,0
tuned_STREAM_Triad,2,287217,781,0,0,0,0,0
tuned_STREAM_Copy,2,172278,251,0,0,0,0,0
tuned_STREAM_Scale,2,212023,192,0,0,0,0,0
tuned_STREAM_Add,2,236011,729,0,0,0,0,0
tuned_STREAM_Triad,2,287272,734,0,0,0,0,0
tuned_STREAM_Copy,2,172259,240,0,0,0,0,0
tuned_STREAM_Scale,2,211985,192,0,0,0,0,0
tuned_STREAM_Add,2,237124,762,0,0,0,0,0
tuned_STREAM_Triad,2,286996,746,0,0,0,0,0
tuned_STREAM_Copy,2,172478,270,0,0,0,0,0
tuned_STREAM_Scale,2,212194,218,0,0,0,0,0
tuned_STREAM_Add,2,236501,744,0,0,0,0,0
tuned_STREAM_Triad,2,286892,737,0,0,0,0,0
tuned_STREAM_Copy,2,172344,256,0,0,0,0,0
tuned_STREAM_Scale,2,212287,220,0,0,0,0,0
tuned_STREAM_Add,2,236531,754,0,0,0,0,0
tuned_STREAM_Triad,2,286896,755,0,0,0,0,0
tuned_STREAM_Copy,2,173447,284,4,0,0,0,0
tuned_STREAM_Scale,2,211761,244,0,0,0,0,0
tuned_STREAM_Add,2,236618,737,0,0,0,0,0
tuned_STREAM_Triad,2,286916,745,0,0,0,0,0
tuned_STREAM_Copy,2,172226,234,0,0,0,0,0
tuned_STREAM_Scale,2,212804,264,0,0,0,0,0
tuned_STREAM_Add,2,236173,734,0,0,0,0,0
tuned_STREAM_Triad,2,286937,744,0,0,0,0,0
tuned_STREAM_Copy,2,172309,283,0,0,0,0,0
tuned_STREAM_Scale,2,212088,201,0,0,0,0,0
tuned_STREAM_Add,2,236525,740,0,0,0,0,0
tuned_STREAM_Triad,2,287662,776,0,0,0,0,0
tuned_STREAM_Copy,2,172720,306,0,0,0,0,0
tuned_STREAM_Scale,2,212074,196,0,0,0,0,0
tuned_STREAM_Add,2,236450,744,0,0,0,0,0
tuned_STREAM_Triad,2,286958,761,0,0,0,0,0
tuned_STREAM_Copy,2,172540,267,0,0,0,0,0
tuned_STREAM_Scale,2,212157,211,0,0,0,0,0
tuned_STREAM_Add,2,236592,745,0,0,0,0,0
tuned_STREAM_Triad,2,286847,736,0,0,0,0,0
tuned_STREAM_Copy,2,172520,274,0,0,0,0,0
tuned_STREAM_Scale,2,212625,219,0,0,0,0,0
tuned_STREAM_Add,2,236305,734,0,0,0,0,0
tuned_STREAM_Triad,2,286970,750,0,0,0,0,0
tuned_STREAM_Copy,2,172328,260,0,0,0,0,0
tuned_STREAM_Scale,2,211673,212,0,0,0,0,0
tuned_STREAM_Add,2,236548,748,0,0,0,0,0
tuned_STREAM_Triad,2,287094,752,0,0,0,0,0
tuned_STREAM_Copy,2,172860,309,0,0,0,0,0
tuned_STREAM_Scale,2,212115,194,0,0,0,0,0
tuned_STREAM_Add,2,236402,758,0,0,0,0,0
tuned_STREAM_Triad,2,288063,761,0,0,0,3,0
tuned_STREAM_Copy,2,172306,257,0,0,0,2,0
tuned_STREAM_Scale,2,211988,193,0,0,0,0,0
tuned_STREAM_Add,2,236275,734,0,0,0,0,0
tuned_STREAM_Triad,2,287028,755,0,0,0,0,0
tuned_STREAM_Copy,2,172282,352,0,0,0,0,0
tuned_STREAM_Scale,2,211969,191,0,0,0,0,0
tuned_STREAM_Add,2,236653,755,0,0,0,0,0
tuned_STREAM_Triad,2,287119,776,0,0,0,0,0
tuned_STREAM_Copy,2,172505,292,0,0,0,0,0
tuned_STREAM_Scale,2,211698,206,0,0,0,0,0
tuned_STREAM_Add,2,237129,726,0,0,0,0,0
tuned_STREAM_Triad,2,286859,736,0,0,0,0,0
tuned_STREAM_Copy,2,172393,266,0,0,0,0,0
tuned_STREAM_Scale,2,211890,183,0,0,0,0,0
tuned_STREAM_Add,2,236171,728,0,0,0,0,0
tuned_STREAM_Triad,2,287621,811,0,0,0,0,0
tuned_STREAM_Copy,2,172452,280,0,0,0,0,0
tuned_STREAM_Scale,2,211999,193,0,0,0,0,0
tuned_STREAM_Add,2,236436,732,0,0,0,0,0
tuned_STREAM_Triad,2,287048,747,0,0,0,0,0
tuned_STREAM_Copy,2,173731,317,0,0,0,0,0
tuned_STREAM_Scale,2,211969,192,0,0,0,0,0
tuned_STREAM_Add,2,236153,737,0,0,0,0,0
tuned_STREAM_Triad,2,286891,755,0,0,0,0,0
tuned_STREAM_Copy,2,172315,254,0,0,0,0,0
tuned_STREAM_Scale,2,212051,195,0,0,0,0,0
tuned_STREAM_Add,2,236473,744,0,0,0,0,0
tuned_STREAM_Triad,2,286974,741,0,0,0,0,0
tuned_STREAM_Copy,2,173003,325,0,0,0,0,0
