function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
stream_func,1,1093156432,1005151,5618,62,15,4201,5124
tuned_STREAM_Copy,2,171127,53,6,0,0,28,1076
tuned_STREAM_Scale,2,224352,425,4,0,0,2257,155
tuned_STREAM_Add,2,236768,741,2,0,0,27,13
tuned_STREAM_Triad,2,287185,760,4,0,0,3,5
tuned_STREAM_Copy,2,181335,259,0,0,0,0,0
tuned_STREAM_Scale,2,212064,201,0,0,0,1,0
tuned_STREAM_Add,2,237473,774,12,0,0,0,0
tuned_STREAM_Triad,2,287197,756,0,0,0,0,0
tuned_STREAM_Copy,2,181438,284,0,0,0,0,0
tuned_STREAM_Scale,2,212133,208,0,0,0,0,0
tuned_STREAM_Add,2,236805,758,0,0,0,0,0
tuned_STREAM_Triad,2,287012,753,0,0,0,0,1
tuned_STREAM_Copy,2,172381,271,0,0,0,0,0
tuned_STREAM_Scale,2,211613,205,0,0,0,0,0
tuned_STREAM_Add,2,236682,778,0,0,0,0,0
tuned_STREAM_Triad,2,287064,737,0,0,0,0,0
tuned_STREAM_Copy,2,176542,270,4,0,0,0,0
tuned_STREAM_Scale,2,212101,210,0,0,0,0,0
tuned_STREAM_Add,2,236596,733,0,0,0,0,0
tuned_STREAM_Triad,2,286882,743,0,0,0,0,0
tuned_STREAM_Copy,2,181392,272,0,0,0,0,0
tuned_STREAM_Scale,2,211908,189,0,0,0,0,0
tuned_STREAM_Add,2,236581,743,0,0,0,0,0
tuned_STREAM_Triad,2,287171,769,0,0,0,0,0
tuned_STREAM_Copy,2,181311,262,0,0,0,0,0
tuned_STREAM_Scale,2,211639,219,0,0,0,0,0
tuned_STREAM_Add,2,236258,752,0,0,0,0,0
tuned_STREAM_Triad,2,286953,747,0,0,0,0,0
tuned_STREAM_Copy,2,181310,271,0,0,0,0,0
tuned_STREAM_Scale,2,212211,212,0,0,0,0,0
tuned_STREAM_Add,2,236583,754,0,0,0,0,0
tuned_STREAM_Triad,2,286954,748,0,0,0,0,0
tuned_STREAM_Copy,2,181487,298,0,0,0,0,0
tuned_STREAM_Scale,2,212165,196,0,0,0,0,0
tuned_STREAM_Add,2,236583,754,0,0,0,0,0
tuned_STREAM_Triad,2,287052,736,0,0,0,0,0
tuned_STREAM_Copy,2,181418,299,0,0,0,0,0
tuned_STREAM_Scale,2,212458,216,0,0,0,0,0
tuned_STREAM_Add,2,236289,733,0,0,0,0,0
tuned_STREAM_Triad,2,287192,770,0,0,0,0,0
tuned_STREAM_Copy,2,181174,274,0,0,0,0,0
tuned_STREAM_Scale,2,212185,211,0,0,0,0,0
tuned_STREAM_Add,2,236977,795,0,0,0,0,0
tuned_STREAM_Triad,2,286876,752,0,0,0,0,0
tuned_STREAM_Copy,2,181231,267,0,0,0,0,0
tuned_STREAM_Scale,2,211976,193,0,0,0,0,0
tuned_STREAM_Add,2,236643,758,0,0,0,0,0
tuned_STREAM_Triad,2,287692,773,0,0,0,0,0
tuned_STREAM_Copy,2,181376,281,0,0,0,0,0
tuned_STREAM_Scale,2,211853,205,0,0,0,0,0
tuned_STREAM_Add,2,236856,784,0,0,0,0,0
tuned_STREAM_Triad,2,287394,769,0,0,0,0,0
tuned_STREAM_Copy,2,181244,248,0,0,0,3,0
tuned_STREAM_Scale,2,212045,196,0,0,0,0,0
tuned_STREAM_Add,2,236720,749,0,0,0,0,0
tuned_STREAM_Triad,2,287258,767,0,0,0,0,0
tuned_STREAM_Copy,2,181369,274,0,0,0,0,0
tuned_STREAM_Scale,2,212694,249,0,0,0,1,0
tuned_STREAM_Add,2,237336,778,2,0,0,1,0
tuned_STREAM_Triad,2,287239,747,0,0,0,0,0
tuned_STREAM_Copy,2,181203,286,0,0,0,0,0
tuned_STREAM_Scale,2,211832,204,0,0,0,0,0
tuned_STREAM_Add,2,236760,739,0,0,0,0,0
tuned_STREAM_Triad,2,286861,747,0,0,0,0,0
tuned_STREAM_Copy,2,181186,236,0,0,0,0,0
tuned_STREAM_Scale,2,211976,194,0,0,0,0,0
tuned_STREAM_Add,2,236513,746,0,0,0,0,0
tuned_STREAM_Triad,2,287085,742,0,0,0,0,0
tuned_STREAM_Copy,2,177484,292,0,0,0,0,0
tuned_STREAM_Scale,2,211610,204,0,0,0,0,0
tuned_STREAM_Add,2,236540,754,0,0,0,0,0
tuned_STREAM_Triad,2,287175,762,0,0,0,0,0
tuned_STREAM_Copy,2,181274,253,0,0,0,0,0
tuned_STREAM_Scale,2,212106,200,0,0,0,0,0
tuned_STREAM_Add,2,236403,754,0,0,0,0,0
tuned_STREAM_Triad,2,286947,776,0,0,0,0,0
tuned_STREAM_Copy,2,181320,256,0,0,0,0,0
tuned_STREAM_Scale,2,211555,198,0,0,0,0,0
tuned_STREAM_Add,2,236669,752,0,0,0,0,0
tuned_STREAM_Triad,2,287813,769,0,0,0,0,0
tuned_STREAM_Copy,2,181537,291,0,0,0,0,0
tuned_STREAM_Scale,2,211833,222,0,0,0,0,0
tuned_STREAM_Add,2,236701,770,0,0,0,0,0
tuned_STREAM_Triad,2,287103,754,0,0,0,0,0
tuned_STREAM_Copy,2,181264,287,0,0,0,0,0
tuned_STREAM_Scale,2,212137,210,0,0,0,0,0
tuned_STREAM_Add,2,236389,746,0,0,0,0,0
tuned_STREAM_Triad,2,287016,763,0,0,0,0,0
tuned_STREAM_Copy,2,181332,283,0,0,0,0,0
tuned_STREAM_Scale,2,212664,282,0,0,0,0,0
tuned_STREAM_Add,2,236396,751,0,0,0,0,0
tuned_STREAM_Triad,2,287024,759,0,0,0,0,0
tuned_STREAM_Copy,2,181473,270,0,0,0,0,0
tuned_STREAM_Scale,2,211616,214,0,0,0,0,0
tuned_STREAM_Add,2,236702,742,0,0,0,0,0
tuned_STREAM_Triad,2,286991,760,0,0,0,0,0
tuned_STREAM_Copy,2,181578,288,0,0,0,0,0
tuned_STREAM_Scale,2,212078,201,0,0,0,0,0
tuned_STREAM_Add,2,236753,751,0,0,0,0,0
tuned_STREAM_Triad,2,287740,780,0,0,0,0,0
tuned_STREAM_Copy,2,181574,293,0,0,0,0,0
tuned_STREAM_Scale,2,212071,198,0,0,0,0,0
tuned_STREAM_Add,2,236417,742,0,0,0,0,0
tuned_STREAM_Triad,2,287140,737,0,0,0,0,0
tuned_STREAM_Copy,2,181747,321,0,0,0,0,0
tuned_STREAM_Scale,2,212129,202,0,0,0,1,0
tuned_STREAM_Add,2,236493,746,0,0,0,0,0
tuned_STREAM_Triad,2,287098,763,0,0,0,0,0
tuned_STREAM_Copy,2,181226,244,0,0,0,0,0
tuned_STREAM_Scale,2,212302,221,0,0,0,0,0
tuned_STREAM_Add,2,237532,774,0,0,0,0,0
tuned_STREAM_Triad,2,287228,751,0,0,0,0,0
tuned_STREAM_Copy,2,181305,258,0,0,0,0,0
tuned_STREAM_Scale,2,212171,208,0,0,0,0,0
tuned_STREAM_Add,2,236552,748,0,0,0,0,0
tuned_STREAM_Triad,2,287183,758,0,0,0,0,0
tuned_STREAM_Copy,2,181226,253,0,0,0,0,0
tuned_STREAM_Scale,2,211714,223,0,0,0,0,0
tuned_STREAM_Add,2,236396,748,0,0,0,0,0
tuned_STREAM_Triad,2,286980,746,0,0,0,0,0
tuned_STREAM_Copy,2,178095,320,0,0,0,0,0
tuned_STREAM_Scale,2,211776,210,0,0,0,0,0
tuned_STREAM_Add,2,236370,735,0,0,0,0,0
tuned_STREAM_Triad,2,287165,749,0,0,0,0,0
tuned_STREAM_Copy,2,181280,242,0,0,0,0,0
tuned_STREAM_Scale,2,212138,199,0,0,0,0,0
tuned_STREAM_Add,2,236392,762,0,0,0,0,0
tuned_STREAM_Triad,2,287374,756,0,0,0,0,0
tuned_STREAM_Copy,2,181243,259,0,0,0,0,0
tuned_STREAM_Scale,2,211905,187,0,0,0,0,0
tuned_STREAM_Add,2,236504,752,0,0,0,0,0
tuned_STREAM_Triad,2,287471,749,0,0,0,0,0
tuned_STREAM_Copy,2,181235,254,0,0,0,0,0
tuned_STREAM_Scale,2,212032,194,0,0,0,0,0
tuned_STREAM_Add,2,236860,768,0,0,0,0,0
tuned_STREAM_Triad,2,287196,745,0,0,0,0,0
tuned_STREAM_Copy,2,181506,280,0,0,0,0,0
tuned_STREAM_Scale,2,212218,213,0,0,0,0,0
tuned_STREAM_Add,2,236572,743,0,0,0,0,0
tuned_STREAM_Triad,2,286977,744,0,0,0,0,0
tuned_STREAM_Copy,2,181386,286,0,0,0,0,0
tuned_STREAM_Scale,2,212313,212,0,0,0,0,0
tuned_STREAM_Add,2,236829,753,0,0,0,0,0
tuned_STREAM_Triad,2,286768,734,0,0,0,0,0
tuned_STREAM_Copy,2,181235,260,0,0,0,0,0
tuned_STREAM_Scale,2,212163,201,0,0,0,0,0
tuned_STREAM_Add,2,236297,764,0,0,0,0,0
tuned_STREAM_Triad,2,287110,763,0,0,0,0,0
tuned_STREAM_Copy,2,181654,299,0,0,0,0,0
tuned_STREAM_Scale,2,212272,211,0,0,0,0,0
tuned_STREAM_Add,2,236455,735,0,0,0,0,0
tuned_STREAM_Triad,2,287594,783,0,0,0,0,0
tuned_STREAM_Copy,2,181239,250,0,0,0,0,0
tuned_STREAM_Scale,2,212227,219,0,0,0,0,0
tuned_STREAM_Add,2,236623,772,0,0,0,0,0
tuned_STREAM_Triad,2,287055,735,0,0,0,0,0
tuned_STREAM_Copy,2,181342,284,0,0,0,0,0
tuned_STREAM_Scale,2,212295,216,0,0,0,0,0
